
### MAR — Política `SDDP` (média 1000 sims)

| Dia | FilaIni | AdmIn | w_proc | Proc | FilaFim | Spill | Ocioso | AdmOut | Custo |
| 9 | 2751 | 2631 | 2477 | 2477 | 2905 | 1705 | 0.0 | 2631 | 35.53M |
| 10 | 2905 | 2631 | 2497 | 2497 | 3039 | 1839 | 0.0 | 2631 | 38.11M |
| 11 | 3039 | 2631 | 2478 | 2478 | 3192 | 1992 | 0.0 | 2631 | 40.99M |
| 12 | 3192 | 2631 | 2490 | 2490 | 3333 | 2133 | 0.0 | 2631 | 43.68M |
| 13 | 3333 | 2631 | 2486 | 2486 | 3477 | 2277 | 0.0 | 2631 | 46.42M |
| 14 | 3477 | 2631 | 2474 | 2474 | 3635 | 2435 | 0.0 | 2631 | 49.39M |
| 15 | 3635 | 2631 | 2481 | 2481 | 3785 | 2585 | 0.0 | 2631 | 52.25M |
| 16 | 3785 | 2631 | 2476 | 2476 | 3940 | 2740 | 0.0 | 2631 | 55.19M |
| 17 | 3940 | 2631 | 2475 | 2475 | 4096 | 2896 | 0.0 | 2631 | 58.15M |
| 18 | 4096 | 2631 | 2464 | 2464 | 4262 | 3062 | 0.0 | 2631 | 61.30M |
| 19 | 4262 | 2631 | 2477 | 2477 | 4417 | 3217 | 0.0 | 2631 | 64.25M |
| 20 | 4417 | 2631 | 2494 | 2494 | 4554 | 3354 | 0.0 | 2631 | 66.89M |
| 21 | 4554 | 2631 | 2486 | 2486 | 4699 | 3499 | 0.0 | 2631 | 69.63M |
| 22 | 4699 | 2631 | 2469 | 2469 | 4861 | 3661 | 0.0 | 2631 | 72.68M |
| 23 | 4861 | 2631 | 2490 | 2490 | 5002 | 3802 | 0.0 | 2631 | 75.39M |
| 24 | 5002 | 2631 | 2481 | 2481 | 5152 | 3952 | 0.0 | 2631 | 78.24M |
| 25 | 5152 | 2631 | 2458 | 2458 | 5325 | 4125 | 0.0 | 2631 | 81.49M |
| 26 | 5325 | 2631 | 2479 | 2479 | 5478 | 4278 | 0.0 | 2631 | 84.42M |
| 27 | 5478 | 2631 | 2465 | 2465 | 5644 | 4444 | 0.0 | 2631 | 87.56M |
| 28 | 5644 | 2631 | 2476 | 2476 | 5799 | 4599 | 0.0 | 2631 | 90.53M |
| 29 | 5799 | 2631 | 2481 | 2481 | 5950 | 4750 | 0.0 | 2631 | 93.39M |
| 30 | 5950 | 2631 | 2489 | 2489 | 6092 | 4892 | 0.0 | 2631 | 96.10M |

### JUL — Política `SDDP` (média 1000 sims)

| Dia | FilaIni | AdmIn | w_proc | Proc | FilaFim | Spill | Ocioso | AdmOut | Custo |
|----:|--------:|------:|-------:|-----:|--------:|------:|-------:|-------:|------:|
| 1 | 1200 | 3000 | 2095 | 2095 | 2105 | 937.5 | 0.0 | 789.2 | 19.81M |
| 2 | 2105 | 789.2 | 2082 | 2038 | 855.9 | 127.2 | 44.1 | 1988 | 8.12M |
| 3 | 855.9 | 1988 | 2101 | 2054 | 789.6 | 106.0 | 46.5 | 2054 | 6.05M |
| 4 | 789.6 | 2054 | 2114 | 2059 | 784.7 | 106.6 | 55.2 | 2059 | 6.34M |
| 5 | 784.7 | 2059 | 2093 | 2040 | 804.3 | 110.5 | 53.5 | 2040 | 6.35M |
| 6 | 804.3 | 2040 | 2079 | 2035 | 809.2 | 109.4 | 44.4 | 2035 | 5.97M |
| 7 | 809.2 | 2035 | 2133 | 2078 | 765.8 | 101.1 | 55.2 | 2078 | 6.25M |
| 8 | 765.8 | 2078 | 2110 | 2055 | 789.3 | 105.3 | 55.4 | 2055 | 6.30M |
| 9 | 789.3 | 2055 | 2103 | 2047 | 797.0 | 117.3 | 56.5 | 2047 | 6.59M |
| 10 | 797.0 | 2047 | 2082 | 2032 | 812.1 | 117.1 | 50.0 | 2032 | 6.33M |
| 11 | 812.1 | 2032 | 2101 | 2045 | 798.8 | 111.0 | 55.6 | 2045 | 6.48M |
| 12 | 798.8 | 2045 | 2100 | 2044 | 799.6 | 115.1 | 55.5 | 2044 | 6.52M |
| 13 | 799.6 | 2044 | 2091 | 2033 | 810.7 | 119.8 | 57.8 | 2033 | 6.72M |
| 14 | 810.7 | 2033 | 2117 | 2064 | 779.9 | 103.9 | 52.5 | 2064 | 6.20M |
| 15 | 779.9 | 2064 | 2112 | 2068 | 776.4 | 102.0 | 44.3 | 2068 | 5.76M |
| 16 | 776.4 | 2068 | 2137 | 2076 | 767.9 | 96.5 | 61.3 | 2076 | 6.40M |
| 17 | 767.9 | 2076 | 2101 | 2049 | 794.6 | 104.1 | 51.7 | 2049 | 6.13M |
| 18 | 794.6 | 2049 | 2112 | 2049 | 794.6 | 112.3 | 62.4 | 2049 | 6.77M |
| 19 | 794.6 | 2049 | 2038 | 1993 | 850.8 | 126.0 | 44.8 | 1993 | 6.30M |
| 20 | 850.8 | 1993 | 2109 | 2055 | 789.0 | 112.1 | 54.4 | 2055 | 6.48M |
| 21 | 789.0 | 2055 | 2113 | 2059 | 785.0 | 107.3 | 54.0 | 2059 | 6.30M |
| 22 | 785.0 | 2059 | 2061 | 2014 | 830.2 | 120.7 | 46.8 | 2014 | 6.26M |
| 23 | 830.2 | 2014 | 2068 | 2014 | 829.9 | 116.5 | 54.2 | 2014 | 6.58M |
